=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 10/03/2026 15:40:41
PLC: PLC_C9_ED11
Total Bloques: 651
=========================================================

[Nombre] _borrar                             | [Num] 4     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] _REVISAR                            | [Num] 59999 | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB1_SYS                             | [Num] 1     | [Tipo API] GlobalDB     | [Ruta] 0_Sistema
[Nombre] DB1000_ENV_ESTER_ESTAND             | [Num] 1000  | [Tipo API] GlobalDB     | [Ruta] 1000_EnvioEsterilizadorEstandarizador\1000_Proceso
[Nombre] DB1001_ZC_FASE_AD_AGUA              | [Num] 1001  | [Tipo API] InstanceDB   | [Ruta] 1000_EnvioEsterilizadorEstandarizador\1000_Proceso
[Nombre] DB1002_OrdenSecuanciaBombas         | [Num] 1002  | [Tipo API] InstanceDB   | [Ruta] 1000_EnvioEsterilizadorEstandarizador\1000_Proceso
[Nombre] DB1003_ParoSecuencialBombas_NivelAlto | [Num] 1003  | [Tipo API] InstanceDB   | [Ruta] 1000_EnvioEsterilizadorEstandarizador\1000_Proceso
[Nombre] DB1004_ParoSecuencialBombasLlenadoEnjuague | [Num] 1004  | [Tipo API] InstanceDB   | [Ruta] 1000_EnvioEsterilizadorEstandarizador\1000_Proceso
[Nombre] DB1009_ZC_FASE_AD_AGUA_DESTINO      | [Num] 1009  | [Tipo API] InstanceDB   | [Ruta] 1000_EnvioEsterilizadorEstandarizador\1000_Proceso
[Nombre] DB1015_ENV_ESTER_PASTO              | [Num] 1015  | [Tipo API] GlobalDB     | [Ruta] 1015_EnvioEsterilizadorPasto\1015_Proceso
[Nombre] DB1016_ZC_PARO_SECUENCIAL_PETICION_PROD | [Num] 1016  | [Tipo API] InstanceDB   | [Ruta] 1015_EnvioEsterilizadorPasto\1015_Proceso
[Nombre] DB1017_MARCHA_PARO_HOMO             | [Num] 1017  | [Tipo API] InstanceDB   | [Ruta] 1015_EnvioEsterilizadorPasto\1015_Proceso
[Nombre] DB1018_ZC_CALCULO_PRESION_HZ_DB     | [Num] 1018  | [Tipo API] InstanceDB   | [Ruta] 1015_EnvioEsterilizadorPasto\1015_Proceso
[Nombre] DB1020_ENV_ESTAND_PASTO             | [Num] 1020  | [Tipo API] GlobalDB     | [Ruta] 1020_EnvioEstandarizadorPasto\1020_Proceso
[Nombre] DB1021_ZC_PARO_SECUENCIAL_PETICION_PROD | [Num] 1021  | [Tipo API] InstanceDB   | [Ruta] 1020_EnvioEstandarizadorPasto\1020_Proceso
[Nombre] DB1022_MARCHA_PARO_HOMO             | [Num] 1022  | [Tipo API] InstanceDB   | [Ruta] 1020_EnvioEstandarizadorPasto\1020_Proceso
[Nombre] DB1023_ZC_CALCULO_PRESION_HZ_DB     | [Num] 1023  | [Tipo API] InstanceDB   | [Ruta] 1020_EnvioEstandarizadorPasto\1020_Proceso
[Nombre] DB1025_ENV_ESTAND_UF                | [Num] 1025  | [Tipo API] GlobalDB     | [Ruta] 1025_EnvioEstandarizadorUF\1025_Proceso
[Nombre] DB1030_ENV_UF_ESTAND                | [Num] 1030  | [Tipo API] GlobalDB     | [Ruta] 1030_EnvioUFEstandarizador\1030_Proceso
[Nombre] DB1035_ENV_PASTO_FERM               | [Num] 1035  | [Tipo API] GlobalDB     | [Ruta] 1035_EnvioPastoFermentadores\1035_Proceso
[Nombre] DB1040_ENV_PASTO_CUBA               | [Num] 1040  | [Tipo API] GlobalDB     | [Ruta] 1040_EnvioPastoCubas\1040_Proceso
[Nombre] DB1045_ENV_FERM_UF                  | [Num] 1045  | [Tipo API] GlobalDB     | [Ruta] 1045_EnvioFermentadoresUF\1045_Proceso
[Nombre] DB1050_ENV_PASTO_TQ_MOVIL           | [Num] 1050  | [Tipo API] GlobalDB     | [Ruta] 1050_EnvioPastoTqMovil\1050_Proceso
[Nombre] DB1055_ENV_FERM_MIXER               | [Num] 1055  | [Tipo API] GlobalDB     | [Ruta] 1055_EnvioFermentadoresMixer_Mixer\1055_Proceso
[Nombre] DB1060_ENV_FERM_CUBA                | [Num] 1060  | [Tipo API] GlobalDB     | [Ruta] 1060_EnvioFermentadoresCubas_Cubas\1060_Proceso
[Nombre] DB1065_ENV_MIX_ENVASADO             | [Num] 1065  | [Tipo API] GlobalDB     | [Ruta] 1065_EnvioMixEnvasado\1065_Proceso
[Nombre] DB1070_RECUPERACION_CALOR           | [Num] 1070  | [Tipo API] GlobalDB     | [Ruta] 1070_RecuperacionCalor\1070 Proceso
[Nombre] DB1075_ESTER_LINEA                  | [Num] 1075  | [Tipo API] GlobalDB     | [Ruta] 1075_EsterilizacionLineaPasto\1075 Proceso
[Nombre] DB1080_ENV_TQ_MOVIL_PASTO           | [Num] 1080  | [Tipo API] GlobalDB     | [Ruta] 1080_EnvioTqMovilPasto\1080_Proceso
[Nombre] DB1081_ZC_PARO_SECUENCIAL_PETICION_PROD | [Num] 1081  | [Tipo API] InstanceDB   | [Ruta] 1080_EnvioTqMovilPasto\1080_Proceso
[Nombre] DB1082_MARCHA_PARO_HOMO             | [Num] 1082  | [Tipo API] InstanceDB   | [Ruta] 1080_EnvioTqMovilPasto\1080_Proceso
